NEIGHBOURHOOD,ROOM_TYPE,AVG(A.PRICE),NUMBER_OF_AIRBNB
Seward Park,Entire home/apt,143.23529412,6205
South Beacon Hill,Entire home/apt,117.50000000,730
South Delridge,Private room,70.00000000,365
South Delridge,Entire home/apt,95.00000000,2190
South Lake Union,Private room,133.75000000,1460
South Lake Union,Entire home/apt,158.94117647,6205
South Park,Entire home/apt,102.50000000,730
Stevens,Shared room,34.78571429,5110
Stevens,Private room,100.50000000,12410
Stevens,Entire home/apt,164.94000000,18250
The Junction,Private room,73.60000000,3650
The Junction,Entire home/apt,128.53846154,9490
University District,Entire home/apt,115.77777778,26280
University District,Private room,53.42307692,9490
University District,Shared room,53.88888889,3285
Victory Heights,Entire home/apt,89.66666667,2190
Victory Heights,Private room,75.00000000,2555
View Ridge,Entire home/apt,166.00000000,1460
View Ridge,Private room,99.50000000,730
Wallingford,Shared room,40.83333333,4380
Wallingford,Entire home/apt,165.26804124,35405
Wallingford,Private room,66.47058824,12410
Wedgewood,Entire home/apt,166.16666667,2190
Wedgewood,Private room,67.00000000,3285
Westlake,Entire home/apt,294.16666667,2190
Westlake,Private room,99.83333333,2190
Windermere,Entire home/apt,189.37500000,2920
Windermere,Private room,116.00000000,730
Yesler Terrace,Entire home/apt,160.55555556,3285
Yesler Terrace,Private room,82.66666667,1095
,Private room,65.52857143,51100
,Shared room,48.84210526,6935
,Entire home/apt,150.54085603,93805
