NUM_AMENITIES,AVG_PRICE
27,196.20000000
26,185.60000000
21,177.72527473
25,170.13157895
23,168.66666667
20,159.58064516
22,150.89285714
17,141.51254480
19,138.45161290
16,133.40769231
15,131.26702997
14,129.94202899
18,129.91981132
1,126.97826087
13,125.33815029
24,124.15384615
30,118.25000000
12,117.97398844
11,110.74907749
9,109.85401460
5,108.75000000
10,104.36231884
28,102.50000000
4,100.00000000
8,97.72357724
6,96.67272727
3,92.90909091
2,87.80000000
7,86.48101266
